Run ID,Tool,# TCs,Valid,Invalid,Passed,Failed,Left oobs,Right oobs,Real Time Generation,Simulated Time Execution,Filled Map cells,Absolute Map Coverage,Relative Map Coverage
0,RIGAA,324,306,18,281,25,5,20,27723.67138060000,3717.408258457200,24,0.0024,0.08275862068965520
1,RIGAA,319,308,11,271,37,4,32,30755.078568300000,3658.283503523560,30,0.003,0.10344827586206900
2,RIGAA,321,301,20,269,32,4,28,27883.65113590000,3774.470510574990,27,0.0027,0.09310344827586210
3,RIGAA,319,306,13,278,28,6,22,29060.010751500000,3691.4772559944500,24,0.0024,0.08275862068965520
4,RIGAA,320,302,18,273,29,9,20,29496.3853404,3798.8967617936400,26,0.0026,0.0896551724137931
5,RIGAA,333,309,24,278,31,4,27,27844.2056296,3650.585501699710,28,0.0028,0.09655172413793100
6,Spirale,425,345,80,344,0,0,0,2.7315998000068100,3383.790731693620,0,0.0,0.0
7,Spirale,421,338,83,336,1,0,1,2.757052400013220,3452.641236761590,1,0.0001,0.0034482758620689700
8,Spirale,441,338,103,336,1,0,1,2.874648500015330,3495.6312383469200,1,0.0001,0.0034482758620689700
9,Spirale,419,341,78,339,1,0,1,2.6711431999881600,3468.9072366403400,1,0.0001,0.0034482758620689700
10,Spirale,413,340,73,338,1,0,1,2.7043497000022500,3408.4797332380000,1,0.0001,0.0034482758620689700
11,Spirale,452,341,111,339,1,0,1,2.8758806999878900,3354.393229392360,1,0.0001,0.0034482758620689700
12,CRAG,279,266,13,219,46,18,28,11.022421599995000,4473.136310951780,41,0.0041,0.1413793103448280
13,CRAG,274,266,8,220,45,16,29,11.047719899996200,4483.286316777110,41,0.0041,0.1413793103448280
14,CRAG,280,269,11,222,46,14,31,11.269460999996400,4450.4260595673700,41,0.0041,0.1413793103448280
15,CRAG,281,264,17,225,38,13,25,11.564198199998900,4532.233820545950,38,0.0038,0.1310344827586210
16,CRAG,279,265,14,220,44,16,28,10.975509700014000,4494.369316726460,41,0.0041,0.1413793103448280
17,CRAG,276,267,9,225,41,19,22,10.675364300000000,4508.3360635214500,38,0.0038,0.1310344827586210
18,EvoMBT,294,294,0,280,13,4,9,987.3366422000010,3377.207731995270,12,0.0012,0.041379310344827600
19,EvoMBT,306,306,0,293,12,4,7,903.1326178999950,3332.6197270988500,11,0.0011,0.03793103448275860
20,EvoMBT,290,290,0,276,13,7,5,1035.9403549000000,3393.9969837260400,10,0.001,0.034482758620689700
21,EvoMBT,286,286,0,272,13,9,4,998.4736795000060,3501.6392388432300,11,0.0011,0.03793103448275860
22,EvoMBT,307,307,0,294,12,4,8,915.6077498000010,3274.7554747886000,12,0.0012,0.041379310344827600
23,EvoMBT,286,286,0,267,18,9,9,1031.4549300000000,3493.634738860190,18,0.0018,0.06206896551724140
24,WoGAN,677,400,277,383,16,1,15,14.78568860001550,2552.0644238716900,12,0.0012,0.041379310344827600
25,WoGAN,676,400,276,374,25,0,25,15.660611399990700,2533.852422971740,23,0.0023,0.07931034482758620
26,WoGAN,718,402,316,377,24,4,20,15.938840899990900,2539.183674385310,21,0.0021,0.07241379310344830
27,WoGAN,649,404,245,366,37,1,36,15.508722499991500,2523.963922303640,26,0.0026,0.0896551724137931
28,WoGAN,836,398,438,379,18,3,15,16.447355599993500,2586.65642673336,17,0.0017,0.05862068965517240
29,WoGAN,965,396,569,378,17,8,9,17.182369800010300,2522.512673066460,13,0.0013,0.04482758620689660
30,RoadSign,226,219,7,217,1,1,0,957.9221264999930,4202.098790906370,1,0.0001,0.0034482758620689700
31,RoadSign,220,215,5,212,2,2,0,1021.4811565000100,4230.951791015460,2,0.0002,0.006896551724137930
32,RoadSign,225,222,3,220,1,1,0,958.1731446999950,4184.368290274400,1,0.0001,0.0034482758620689700
33,RoadSign,226,217,9,216,0,0,0,1021.8907523000000,4223.864040736110,0,0.0,0.0
34,RoadSign,227,227,0,221,5,1,4,956.9298576999990,4138.996036580760,5,0.0005,0.017241379310344800
35,RoadSign,222,218,4,215,2,1,1,1020.0429666000000,4209.877540384890,2,0.0002,0.006896551724137930
