Run ID,Tool,# TCs,Valid,Invalid,Passed,Failed,Left oobs,Right oobs,Real Time Generation,Simulated Time Execution,Filled Map cells,Absolute Map Coverage,Relative Map Coverage
0,RIGAA,181,173,8,171,2,0,2,20366.74062000000,4009.360196240480,2,0.0002,0.028169014084507000
1,RIGAA,179,175,4,172,3,0,3,19195.0932173,3891.807192350390,3,0.0003,0.04225352112676060
2,RIGAA,194,188,6,184,4,0,4,19078.534525200000,3917.232443883320,4,0.0004,0.056338028169014100
3,RIGAA,185,179,6,175,4,0,4,19199.4702218,3895.6194358380700,4,0.0004,0.056338028169014100
4,RIGAA,182,177,5,169,8,2,6,21118.289264500000,4024.1231984435600,8,0.0008,0.11267605633802800
5,CRAG,132,127,5,122,4,0,4,8.449331600006460,4453.123718946240,4,0.0004,0.056338028169014100
6,CRAG,137,132,5,123,8,2,6,7.306296399996300,4522.017470761320,8,0.0008,0.11267605633802800
7,CRAG,131,124,7,120,3,0,3,7.920171399998500,4392.193714475260,3,0.0003,0.04225352112676060
8,CRAG,134,131,3,123,7,0,7,7.43127860000758,4433.354962659070,7,0.0007,0.09859154929577460
9,CRAG,137,131,6,122,8,1,7,7.353949400001140,4406.99221522687,8,0.0008,0.11267605633802800
10,EvoMBT,169,169,0,165,3,0,3,538.8167268000020,3809.086936771170,3,0.0003,0.04225352112676060
11,EvoMBT,161,161,0,159,1,0,1,543.6601968000040,3812.29193792888,1,0.0001,0.014084507042253500
12,EvoMBT,162,162,0,159,2,0,2,623.9117183000070,3846.9451885840400,2,0.0002,0.028169014084507000
13,EvoMBT,148,148,0,147,0,0,0,586.0366889000020,3897.255440471460,0,0.0,0.0
14,EvoMBT,164,164,0,162,1,0,1,528.5625121999980,3813.2871843307500,1,0.0001,0.014084507042253500
15,WoGAN,539,272,267,271,0,0,0,21.016229900007600,2791.0103882607100,0,0.0,0.0
16,WoGAN,535,280,255,279,0,0,0,21.22480329999480,2882.8386434259600,0,0.0,0.0
17,WoGAN,600,279,321,278,0,0,0,21.223052799986400,2861.9533921737500,0,0.0,0.0
18,WoGAN,477,274,203,273,0,0,0,20.608893500012000,2795.515388641160,0,0.0,0.0
19,WoGAN,498,277,221,274,2,0,2,21.29122720000890,2836.194889696900,2,0.0002,0.028169014084507000
20,RoadSign,108,106,2,104,1,0,1,453.07734060000500,4535.226721925310,1,0.0001,0.014084507042253500
21,RoadSign,101,98,3,96,1,0,1,453.25010520000500,4414.720214426870,1,0.0001,0.014084507042253500
22,RoadSign,107,105,2,97,7,1,6,453.4376410999980,4523.2424716897100,7,0.0007,0.09859154929577460
23,RoadSign,101,101,0,98,2,0,2,452.094229199997,4449.814714499050,2,0.0002,0.028169014084507000
24,RoadSign,101,100,1,98,1,0,1,453.1119761999950,4394.614215602520,1,0.0001,0.014084507042253500
25,Spirale,230,186,44,185,0,0,0,2.6741842999999500,3771.825434952510,0,0.0,0.0
26,Spirale,235,194,41,192,1,0,1,2.8818624000039900,3906.885691875360,1,0.0001,0.014084507042253500
27,Spirale,219,179,40,178,0,0,0,2.7009286999945400,3990.424444607230,0,0.0,0.0
28,Spirale,230,188,42,187,0,0,0,2.858778899995390,4043.114200004030,0,0.0,0.0
29,Spirale,246,185,61,184,0,0,0,2.8680354000062800,3830.4946877484900,0,0.0,0.0
